Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1 µF","C_0402_1005Metric",157.346862,-90.709214,45.000000,top
"C2","100 nF","C_0402_1005Metric",158.060323,-91.422675,45.000000,top
"C3","100 nF","C_0402_1005Metric",158.791589,-92.160411,45.000000,top
"C4","100 nF","C_0402_1005Metric",152.230000,-85.880000,90.000000,top
"C5","100 nF","C_0402_1005Metric",151.130000,-85.880000,90.000000,top
"C6","100 nF","C_0402_1005Metric",148.011347,-91.543449,90.000000,top
"C7","100 nF","C_0402_1005Metric",147.218400,-96.644435,180.000000,top
"C8","100 nF","C_0402_1005Metric",154.305000,-104.521000,-90.000000,top
"C9","100 nF","C_0402_1005Metric",159.512000,-97.790000,-45.000000,top
"C10","1 µF","C_0402_1005Metric",156.845000,-89.408000,45.000000,top
"C11","100 nF","C_0402_1005Metric",153.175000,-87.987240,90.000000,top
"C12","100 nF","C_0402_1005Metric",155.321000,-103.378000,-45.000000,top
"C13","10 µF","C_0603_1608Metric",151.371000,-80.391000,180.000000,top
"C14","10 µF","C_0603_1608Metric",148.971000,-83.058000,90.000000,top
"C15","33 pF","C_0402_1005Metric",147.701464,-103.019097,-90.000000,top
"C16","33 pF","C_0402_1005Metric",153.301464,-103.019097,90.000000,top
"C17","100 nF","C_0402_1005Metric",149.606000,-86.614000,0.000000,top
"C18","8 pF","C_0402_1005Metric",155.600400,-107.114400,90.000000,top
"C19","8 pF","C_0402_1005Metric",155.095000,-112.911625,180.000000,top
"C20","100 nF","C_0402_1005Metric",147.789107,-104.927854,90.000000,top
"C21","100 nF","C_0402_1005Metric",147.447000,-114.201000,-90.000000,top
"C22","100 nF","C_0402_1005Metric",147.447000,-116.304000,-90.000000,top
"D1","C19171390","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",147.391019,-80.827515,-90.000000,top
"D2","C2994781","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",157.480000,-115.443000,90.000000,top
"D3","MBR120VLSFT1G","D_SOD-123F",156.725892,-81.499731,90.000000,top
"D4","MBR120VLSFT1G","D_SOD-123F",159.175892,-81.499731,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",153.375000,-73.687500,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",144.485000,-72.807500,0.000000,top
"J3","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",162.265000,-72.807500,0.000000,top
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",158.623000,-105.029000,180.000000,top
"J5","Screw_Terminal_01x03 (C3817776)","CONN-TH_3P-P3.50_OSTTE030161",153.375000,-121.051250,0.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",152.418513,-115.490625,-90.000000,top
"R1","5.1K","R_0402_1005Metric",159.652567,-74.172500,90.000000,top
"R2","5.1K","R_0402_1005Metric",147.149810,-74.172500,90.000000,top
"R3","27","R_0402_1005Metric",154.030743,-90.375275,-90.000000,top
"R4","27","R_0402_1005Metric",155.130743,-90.375275,-90.000000,top
"R5","1K","R_0402_1005Metric",153.162000,-101.092000,135.000000,top
"R6","10K","R_0402_1005Metric",149.202000,-85.090000,180.000000,top
"R7","1K","R_0402_1005Metric",149.478860,-91.077298,0.000000,top
"R8","470R","R_0402_1005Metric",148.971000,-80.287000,-90.000000,top
"R9","100R","R_0402_1005Metric",157.249000,-113.030000,0.000000,top
"R10","120R","R_0402_1005Metric",155.447101,-116.667107,0.000000,top
"R11","10K","R_0402_1005Metric",149.864294,-105.343499,180.000000,top
"R12","10K","R_0402_1005Metric",155.448000,-114.681000,0.000000,top
"SW1","SW_Push","SW-SMD_L3.9-W3.0-P4.45",157.226000,-86.233000,180.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",153.375000,-95.650000,0.000000,top
"U2","MCP1700x-330xxTT","SOT-23",151.798815,-83.030932,0.000000,top
"U3","W25Q16JVUXIQ","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",149.733000,-88.501438,0.000000,top
"U4","MCP25625-x-SS (C481365)","QFN-28_L6.0-W6.0-P0.65-BL-EP",150.528513,-109.601000,0.000000,top
"Y1","12 MHz Crystal_GND24 (C9002)","Crystal_SMD_3225-4Pin_3.2x2.5mm",150.501464,-103.019097,180.000000,top
"Y2","16 MHz Crystal_GND24 (C13738)","Crystal_SMD_3225-4Pin_3.2x2.5mm",156.055000,-110.189631,90.000000,top
