Designator,Mid X,Mid Y,Rotation,Layer
C1,157.346862,-90.709214,45.0,top
C10,156.73,-89.28,45.0,top
C11,153.175,-87.98724,90.0,top
C12,155.321,-103.378,315.0,top
C13,151.371,-80.391,180.0,top
C14,148.971,-83.058,90.0,top
C15,147.701464,-103.27,270.0,top
C16,153.1,-103.02,90.0,top
C17,149.606,-86.614,0.0,top
C18,155.77,-106.74,0.0,top
C19,156.73,-112.15,180.0,top
C2,158.060323,-91.422675,45.0,top
C20,147.45,-105.43,45.0,top
C21,147.42,-114.34,270.0,top
C22,155.03,-112.72,315.0,top
C3,158.791589,-92.160411,45.0,top
C4,152.23,-85.88,90.0,top
C5,151.13,-85.88,90.0,top
C6,148.01,-91.5,90.0,top
C7,147.2184,-96.644435,180.0,top
C8,154.18,-104.4,270.0,top
C9,159.15,-97.66,315.0,top
D1,147.391019,-80.827515,270.0,top
D2,158.5,-115.2875,90.0,top
D3,156.725892,-81.499731,90.0,top
D4,159.175892,-81.499731,90.0,top
J1,153.375,-73.6875,180.0,top
J2,144.485,-96.9375,0.0,top
J3,162.265,-96.9375,0.0,top
J4,158.623,-103.759,180.0,top
J5,153.375,-120.86,0.0,top
J7,151.148513,-115.490625,270.0,top
R1,159.652567,-74.1725,90.0,top
R10,154.99,-116.32,90.0,top
R11,147.42,-116.34,90.0,top
R12,155.448,-114.681,0.0,top
R2,147.14981,-74.1725,90.0,top
R3,154.030743,-90.375275,270.0,top
R4,155.130743,-90.375275,270.0,top
R5,153.162,-101.092,135.0,top
R6,149.202,-85.09,180.0,top
R7,149.47886,-91.077298,0.0,top
R8,148.971,-80.287,270.0,top
R9,157.11,-115.08,270.0,top
SW1,157.226,-86.233,180.0,top
U1,153.375,-95.65,90.0,top
U2,151.798815,-83.030932,180.0,top
U3,149.733,-88.501438,0.0,top
U4,150.528513,-109.601,90.0,top
Y1,150.501464,-103.019097,180.0,top
Y2,156.38,-109.45,90.0,top
